filename	read_id	run_id	batch_id	channel	mux	start_time	duration	minknow_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
PAO92523_pass_71307b67_e3e0455f_199.pod5	850abafc-239b-4313-9825-d92fe0be7072	e3e0455f7da9f1a836287fc130ffc62591587f55	0	346	4	4725.938200	1.344800	822	TRUE	4725.938200	1120	1.344800	396	9.427912	2.702266	115.321068	18.189659	115.321068	18.189659
PAO92523_pass_71307b67_e3e0455f_199.pod5	0be0fd9e-f649-4f99-a7a0-28fe559bc6a4	e3e0455f7da9f1a836287fc130ffc62591587f55	0	168	4	4723.366800	1.865000	1105	TRUE	4723.366800	1554	1.865000	608	10.531282	2.792856	99.328468	17.186552	99.328468	17.186552
PAO92523_pass_71307b67_e3e0455f_199.pod5	e6b5ca4f-7658-4e6d-835d-45b7895ae3a8	e3e0455f7da9f1a836287fc130ffc62591587f55	0	464	3	4724.054200	1.958800	1191	TRUE	4724.054200	1632	1.958800	775	11.470869	3.031568	98.009628	19.928375	98.009628	19.928375
PAO92523_pass_71307b67_e3e0455f_199.pod5	ff808dbc-2809-495b-a8da-e4f4800e856f	e3e0455f7da9f1a836287fc130ffc62591587f55	0	54	2	4728.343000	2.125800	1274	TRUE	4728.343000	1771	2.125800	791	11.950829	2.995832	101.999832	17.587795	101.999832	17.587795
PAO92523_pass_71307b67_e3e0455f_199.pod5	75214daa-f978-4871-9d50-7261f0ccdf17	e3e0455f7da9f1a836287fc130ffc62591587f55	0	346	4	4723.355000	1.876800	1132	TRUE	4723.355000	1564	1.876800	696	9.034996	2.878970	99.197517	21.065231	99.197517	21.065231
PAO92523_pass_71307b67_e3e0455f_199.pod5	b4cc96ac-959a-42c6-aae1-3b4bb3115700	e3e0455f7da9f1a836287fc130ffc62591587f55	0	165	3	4726.482800	0.871600	530	TRUE	4726.482800	726	0.871600	353	8.294378	2.907699	97.594345	20.329618	97.594345	20.329618
PAO92523_pass_71307b67_e3e0455f_199.pod5	d1088276-1b9a-4fe4-afa3-3ccb646de91e	e3e0455f7da9f1a836287fc130ffc62591587f55	0	165	3	4723.730400	1.940600	1184	TRUE	4723.730400	1617	1.940600	666	8.760985	2.784808	101.219742	17.520922	101.219742	17.520922
PAO92523_pass_71307b67_e3e0455f_199.pod5	9f5575e0-148a-4e54-b695-bde42d3563f3	e3e0455f7da9f1a836287fc130ffc62591587f55	0	215	4	4725.886600	2.203000	1248	TRUE	4725.886600	1835	2.203000	749	9.349653	2.802509	97.794495	19.192764	97.794495	19.192764
PAO92523_pass_71307b67_e3e0455f_199.pod5	cd610046-dec8-4acb-8e21-a6002ddfc38a	e3e0455f7da9f1a836287fc130ffc62591587f55	0	198	3	4726.326400	1.496600	901	TRUE	4726.326400	1247	1.496600	610	11.875681	3.084421	98.237862	19.527134	98.237862	19.527134
PAO92523_pass_71307b67_e3e0455f_199.pod5	a6abf99a-4803-4795-b2a9-96dbd5bb3644	e3e0455f7da9f1a836287fc130ffc62591587f55	0	197	1	4727.292400	1.924000	1210	TRUE	4727.292400	1603	1.924000	747	10.987504	2.997424	100.667900	17.989038	100.667900	17.989038
PAO92523_pass_71307b67_e3e0455f_199.pod5	de84fb4e-096a-44f1-99cb-936deb02f45f	e3e0455f7da9f1a836287fc130ffc62591587f55	0	197	1	4724.147200	1.865800	1072	TRUE	4724.147200	1554	1.865800	621	9.785776	2.785555	101.144920	20.730862	101.144920	20.730862
PAO92523_pass_71307b67_e3e0455f_199.pod5	b0525aed-9988-42ba-a79d-107089534459	e3e0455f7da9f1a836287fc130ffc62591587f55	0	503	1	4728.542200	1.926600	1125	TRUE	4728.542200	1605	1.926600	689	10.574504	2.895034	98.888863	19.259638	98.888863	19.259638
PAO92523_pass_71307b67_e3e0455f_199.pod5	6da12748-0892-4967-9aad-47f17148c742	e3e0455f7da9f1a836287fc130ffc62591587f55	0	502	3	4728.181800	1.992800	1202	TRUE	4728.181800	1660	1.992800	775	9.855016	2.952469	100.768913	19.727755	100.768913	19.727755
PAO92523_pass_71307b67_e3e0455f_199.pod5	8089441f-d614-44c1-8fc7-4afc3590990f	e3e0455f7da9f1a836287fc130ffc62591587f55	0	486	4	4728.710800	2.119200	1132	TRUE	4728.710800	1766	2.119200	598	9.922484	2.686515	101.575180	21.399599	101.575180	21.399599
PAO92523_pass_71307b67_e3e0455f_199.pod5	0dbbd90a-4095-4db0-93cb-64644266c094	e3e0455f7da9f1a836287fc130ffc62591587f55	0	479	3	4728.690400	2.139600	1326	TRUE	4728.690400	1783	2.139600	842	11.307195	3.018716	98.467957	19.594007	98.467957	19.594007
